Title,Number of review,Catagory,Reveiw Comment,Popular food,Online Order
Patsy's Italian Restaurant,"5,149","Italian, Neapolitan",“I had chicken piccata”,No,No
Bill's Bar & Burger,"3,896","American, Bar",“Casual Dinner”,No,No
"Jams, 6th Avenue, New York, NY, USA",619,American,“Best brunch - fluffiest french toast!”,No,No
Benjamin Steakhouse,"2,490","Seafood, Soups","“I had a ribeye steak which was excellent quality meat, beautifully cooked and...”",No,No
Benjamin Steakhouse,"2,490","Seafood, Soups","“I had a ribeye steak which was excellent quality meat, beautifully cooked and...”",ribeye,Yes
IL Punto Ristorante,"1,585",Italian,"“We were given a complimentary pistachio tiramisu that was light, fluffy, crun...”",tiramisu,Yes
San Carlo Osteria Piemonte,748,"Italian, Mediterranean",“Was very pleased with the duck entree.”,duck,Yes
B Side Pizzeria,527,"Italian, Pizza","“... pizza, kale salad, rich chocolate p...”",kale salad,Yes
Dos Caminos,938,"Mexican, Latin",“Taco salad”,salad,Yes
NY Pizza Suprema,"1,337","Italian, Pizza",“What a NYC Pizzeria Should Be”,Steak,Yes
Balzem,100,"Wine Bar, Mediterranean",“Amazing!!!”,Lobster,Yes
Buenos Aires,472,"Steakhouse, Latin",“Best Steak and Vibe in the City”,risotto,Yes
Daniel,"3,371",French,"“... stand out dishes were the Maine Lobster Salad “ Chaud-Froid” , the Maine ...”",steak tartare,Yes
Craft,"1,028",American,“Best risotto we had ever had in our lives thus far.”,band,Yes
Song E Napule Pizzeria & Trattoria,408,"Italian, Pizza",“Loved it small cozy and delicious”,rice,Yes
Johny's Luncheonette,438,"American, Diner",“Great authentic American breakfast kitchen”,fries,Yes
Brickyard craft kitchen & beer,"2,131",American,"“Our favorites were the flatbread, steak tartare and chicken.”",Duck,Yes
The Modern,502,"Contemporary, American",“... we enjoyed the performance of Hamilton Leithauser and his back up band.”,Ramen,Yes
Bemelmans Bar,"1,049","American, Bar",“... the sushi is fresh and delicious and the fried rice was also excellent.”,croquettes,Yes
Blue Ribbon Sushi,427,"Japanese, Sushi",“The food was also tasty - get the fries.”,coq au vin,Yes
City Vineyard at Pier 26,412,"American, Bar",“... and the Duck Ramen is my favorite..”,dumplings,Yes
Obao Noodles & Bbq,111,Vietnamese,“Best cocktails”,filet mignon,Yes
Katherine,"1,096",Italian,“The sushi and Ramen are particularly fabulous.”,Salmon,Yes
Izakaya MEW,242,"Japanese, Sushi",“... the various dishes: blistered peppers; patatas bravas; croquettes; ribs.”,bar,Yes
Tomino - Taberna Gallega,271,"Spanish, Wine Bar",“Awesome first visit!!!!!”,lobster,Yes
Norma - Gastronomia Siciliana,459,"Italian, Pizza","“My coq au vin had a tasty, moist chicken served with a delicate sauce with ve...”",gyoza,No
Amelie,298,"French, European","“Enjoyed the dumplings, bulgogi, chicken, pork belly, and spare ribs.”",salad,No
Her Name Is Han,5,"Asian, Korean",“Great food ; good price”,bagels,No
KOBA Korean Bbq,"5,663","Asian, Korean",“The filet mignon was just out of this world and cooked to absolute perfection.”,Mexican Food,No
Gallaghers Steakhouse,715,"American, Steakhouse",“My son got the Salmon and he said it was delicious.”,sliders,No
Ocean Prime,"1,233","American, Steakhouse",“we ordered and waited in bar area.”,No,No
Dinosaur Bar-B-Que,991,"American, Bar","“Lunch in Chelsea, NYC”",No,No
Cull & Pistol,362,"American, Seafood",“Especially the lobster and Caviar and t...”,No,No
Manhatta,20,American,“We also had pork and ginger gyoza.”,No,No
IZAKAYA E.A.K. Hell's Kitchen,205,"Japanese, Asian","“... comes with a salad, an appetizer an...”",No,No
Thai Villa,345,Thai,“Most delicious dishes and very good...”,No,No
Hummus Place,492,"Lebanese, Mediterranean",“The most perfect NY bagels with an asto...”,No,No
Brooklyn Bagel & Coffee Company,239,"American, Cafe",“Great Place and Irish Breakfast”,No,No
Megan’s Bar & Kitchen,870,"Irish, Bar",“Delicious Mexican Food Close to Theatre District”,No,No
El Centro,55,"Mexican, Latin",“I had the sliders and a green salad with a tasty lemony vinaigrette.”,No,No
The Elgin,No,"Pub, Gastropub",No,No,No
Hatsuhana Sushi Restaurant,425,"Japanese, Sushi","“... notch, including the O-toro sashimi.”",sashimi,Yes
IL Melograno,331,"Italian, Sicilian",“Octopus and tuna tartare were exceptional.”,Octopus,Yes
Russ & Daughters Cafe,693,"American, Cafe","“They serve breakfast all day, including eggs, bagels, smoked fish, matzoh bal...”",bagels,Yes
Tony's Di Napoli - Midtown,"6,522","Italian, Neapolitan",“... Tony’s and thank god they did!!! Pasta was delicious and the Tony’s chick...”,Pasta,Yes
John's Coffee Shop,266,"American, Cafe","“We had French Toast, Waffles and scramb...”",French Toast,Yes
Gabriel Kreuther,761,"French, Contemporary","“... and sturgeon tart, and my husband dreams about the hay-smoked duck.”",duck,Yes
KOBA Korean Bbq,5,"Asian, Korean",“Great food ; good price”,burger,Yes
Little Owl,"1,257",American,"“Special mention to the kale pesto pasta appetizer and the burger, which were...”",course tasting menu,Yes
The Capital Grille,951,"American, Steakhouse",“Beautiful food and wine”,bass,Yes
Per Se,"1,865",French,“We had the 9 course tasting menu and the 2 with Celiac had a slightly modifie...”,spaghetti,Yes
Le Bernardin,"3,559",French,“... the 2nd category and the last with the likes of black bass and red snapper.”,pizza,Yes
L'Artusi,536,"Italian, European",“The taste of spaghetti is deep and pleasant.”,lobster,Yes
Motorino,48,"Italian, Pizza",“Delicious thin crust pizza”,Truffle,Yes
Nerai,685,"Seafood, Mediterranean",“I ordered the Astakomakaronada which includes poached Maine lobster with squi...”,salad,Yes
Beyond Sushi,234,"Healthy, American",“We very much enjoyed The Shiitake Truffle Dumplings and the Cauliflower Wings.”,Italian restaurant,Yes
Bareburger - Hell's Kitchen,"1,530","American, Bar",“... green goddess dressing on the salad.”,cannoli,Yes
Orso,486,Italian,“A superb little Italian restaurant”,with some friends,Yes
Rubirosa,"1,311","Italian, Pizza",“... the carbonara followed by the homemade cannoli and they were both delicious.”,vegetarian,Yes
Stone Bridge Pizza & Salad,41,"Pizza, Italian","“Good, not typical NY slice”",lamb,Yes
Momosan Ramen & Sake,604,"Japanese, Asian",“A wonderful place for a quick bite or even hangout with some friends.”,cheesecake,Yes
Via Della Pace,984,"Italian, Pizza",“Good Italian in the Lower East Side”,chilli chicken,Yes
Dirt Candy,366,American,“Stunning vegetarian tasting menu”,octopus,Yes
Eileen's Special Cheesecake,"2,115",American,“Special cheesecake”,Pizza,No
Keens Steakhouse,"6,794","American, Steakhouse",“... the wonderful taste of the lamb.”,sashimi,No
Allora Fifth Ave,9,"Italian, Mediterranean",“Good experience for dinner”,beef,No
Andrews Coffee Shop,"2,362","American, Cafe",“The best cheesecake in newyork by far 😋”,Pizza,No
Gramercy Tavern,"3,742",American,“A Must Visit”,spaghetti,No
Obao,"1,215","Asian, Thai",“... really good and cashew chilli chicken for main can't fault it would defin...”,No,No
Pylos,406,"Mediterranean, Greek",“The octopus is always cooked perfectly...”,No,No
Mermaid Oyster Bar,277,"American, Bar",“Happy Hour Fanatics!”,No,No
The Marshal,323,"American, Pizza",“Quite possibly the best Pizza I ever ate!”,No,No
Hatsuhana Sushi Restaurant,425,"Japanese, Sushi","“... notch, including the O-toro sashimi.”",No,No
Black Iron Burger,"1,023","American, Bar",“Organic range fed beef and truffle sauc...”,No,No
San Matteo Pizza Espresso Bar,383,"Italian, Pizza",“Delicious Pizza”,No,No
Indian Accent,569,Indian,“1st class”,No,No
Rafele,"1,252","Italian, Neapolitan","“... and chicken in breadcrumbs with spaghetti and a green salad, and we share...”",No,No
Katherine,111,Italian,“Best cocktails”,No,No
Benjamin Steakhouse,"2,490","Seafood, Soups","“I had a ribeye steak which was excellent quality meat, beautifully cooked and...”",ribeye,Yes
Emporio,587,Italian,“Welcome G-F-option restaurant near the...”,Paccheri,Yes
Aurora SoHo,400,"Italian, Mediterranean",“... my collègue Paccheri squid ink and ...”,French toast,Yes
BG - Bergdorf Goodman,530,American,“Lovely Civilized Lunch”,Thai,Yes
Westway Diner,"2,397",American,“French toast and pancakes both deliciou...”,Great atmosphere,Yes
Dos Caminos,893,"Mexican, Latin",“The best guacamole”,oysters,Yes
Miss Mamie's Spoonbread Too,102,"American, Caribbean",“Southern classics”,ramen,Yes
Bengal Tiger Indian Food,550,Indian,“Great Indian food”,gyoza,Yes
Up Thai,367,"Asian, Thai","“If you’re looking for some delicious Thai food, I highly suggest that you che...”",Clam Chowder,Yes
Tanner Smith's,469,"American, Bar",“Great atmosphere”,Red curry,Yes
Flex Mussels,344,Seafood,“We started with a dozen oysters then moved on to the mussels.”,Vegan,Yes
IPPUDO WESTSIDE (Midtown),"1,335","Japanese, Asian",“Excellent ramen and buns!”,clams,Yes
IZAKAYA E.A.K. Hell's Kitchen,20,"Japanese, Asian",“We also had pork and ginger gyoza.”,tuna,Yes
Pearl Oyster Bar,534,"American, Seafood","“Oysters, Clam Chowder, Prawns, Muscles and of course the Lobster Rolls!!”",fried oysters,Yes
VIV Thai Restaurant and Bar,290,"Asian, Thai",“Red curry was perfectly spiced and quit...”,scallops,Yes
54 Below,366,"Asian, Korean",“You will certainly have a laugh!”,filet mignon,Yes
Hangawi,645,Italian,“Fantastic Vegan Eats in NYC”,Crab Cakes,Yes
Trattoria Trecolori,"2,812",American,"“As starters, we had drinks and shared a caprese salad and a platter of clams.”",fresh pasta,Yes
Brickyard craft kitchen & beer,432,"French, Swiss",“Decent French Cuisine”,lasagna,No
Raclette,"1,186","American, Deli",“We got one of the more modern bagels that was tuna and wasabi roe and the cla...”,Steak,No
Russ & Daughters,387,"Seafood, American",“... soup and fried oysters stole the sh...”,Neapolitan,No
Blue Ribbon Brasserie,"2,280","Seafood, Healthy","“We ordered the scallops with yuzu, toro...”",bar,No
Lobster Place,"1,366","American, Steakhouse",“I had the filet mignon with the mashed potatoes and the cheesecake for dessert.”,bar,No
The Capital Grille,309,"Seafood, Soups","“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”",Anniversary Dinner,No
Benjamin Steakhouse Prime,"1,013",Italian,“Cozy and lovely restaurant with fresh pasta and bread.”,No,No
Il Corso,708,"American, Contemporary",“If I could give it 6 stars …”,No,No
Blue Hill,706,"American, Mediterranean",“Special Spot”,No,No
Gato,457,American,“They know what they are doing”,No,No
Market Table,376,"Italian, Pizza","“... a terrific meal, a ""flight"" of lasagna, four flavors served in individual...”",No,No
La Lanterna di Vittorio,591,"American, Steakhouse","“Superb Steak, really delicious”",No,No
Royal 35 Steakhouse,"1,174","Italian, Pizza",“Gluten free Neapolitan pizza”,No,No
Keste Pizza & Vino,"1,015","American, Bar",“... to wait at the bar and the bar staf...”,No,No
Jacob's Pickles,480,"Japanese, Asian",“Make a res and GO!”,No,No
Ivan Ramen,389,"American, Bar",“Anniversary Dinner”,No,No
Hell's Kitchen,286,Italian,“Amazing variety”,No,No
Morton Williams - 57th St,111,Italian,“Best cocktails”,No,No
Katherine,No,Italian,No,No,No
David Burke Tavern,114,"American, Steakhouse",“Highlights were the tuna tartare appetizer and the salmon entree.”,tuna,Yes
Ribalta Pizza,905,"Italian, Pizza","“Very good pizza, but a Michelin mention?”",foie Gras,Yes
Raoul's,416,French,“... (A MUST!) and had soft shell crab special and foie Gras for main course.”,cold noodles,Yes
Ayza Wine & Chocolate Bar,584,Wine Bar,“Best experience”,truffle fries,Yes
O'Hara's Restaurant & Pub,"1,473","American, Irish",“Banging chicken wings.”,Eggs Benedict,Yes
Momofuku Noodle Bar,"1,473","Japanese, Asian",“Spicy cold noodles weren’t spicy at all.”,vegetarian,Yes
Motorino East Village,290,"Italian, Pizza",“Excellent Pizza”,steak,Yes
Flex Mussels,259,"American, Seafood",“We also shared a truffle fries .”,diner,Yes
Fiat Cafe,390,"Italian, Cafe","“The service and friendly staff was a highlight…The Eggs Benedict were divine,...”",pasta,Yes
Jimmy's Corner,531,Pub,“Cheap and very cheerful”,bagels,Yes
Veselka,"1,063","Soups, Eastern European",“The vegetarian stuffed cabbage I would pass next time.”,Tuna,Yes
STATE Grill and Bar,351,"American, Grill",“Popped in for a steak ahead of going up the Empire State Building.”,lobster,Yes
Sichuan Hot Pot Cuisine,87,"Chinese, Seafood",“Great spot in Chinatown!”,carbonara,Yes
Times Square Diner,"2,409","American, Diner",“... a theater workshop and an afternoon Broadway show - this diner was perfect!”,bagels,Yes
Burger & Lobster,"1,100","American, Seafood",“Tasty Burgers with Lobsters”,ribeye,Yes
Masseria Dei Vini,604,"Italian, Mediterranean",“It was on my friend’s radar since it offered gluten-free pasta.”,lobster bisque,Yes
Stage Door Deli,539,"American, Pizza",“Best bagels ever”,pancakes,Yes
Hillstone,654,"American, Bar","“... Dip, my husband had the Spicy Tuna roll which he said was outstanding.”",Chili,Yes
Ledo Pizza,13,"Italian, Pizza",“Maryland’s Best in NYC”,salmon,Yes
The Landmark Tavern,387,"European, Central American",“Great desserts”,Crab Cakes,Yes
Dudley's,301,"American, Bar",“Wonderful Food & Service”,salad,Yes
Jean Georges,"1,963",French,"“... replaced the rack of lamb for a lobster dish which she loved, I had the L...”",Pasta dishes,Yes
Uncle Paul's Pizza,840,"Italian, Pizza","“I had the lasagna, my husband had the carbonara, and my son the Pesto gnocchi...”",feijoada,No
Baz Bagel and Restaurant,293,"American, Cafe",“Baz Bagel offers great bagels and very tasty smoothies.”,wings,No
Ben & Jack's Steakhouse,87,"Bar, American",“The bartender/server suggested the ribeye as well as the special mashed potat...”,clam chowder,No
Sea Fire Grill,"1,137","Steakhouse, Bar",“The lobster bisque was velvety and luscious.”,fries,No
New York Luncheonette,"1,167","American, Diner",“The pancakes are amazing as is the Fren...”,No,No
Red Farm,683,"Chinese, Asian",“Three Chili Chicken was perfectly spiced.”,No,No
Gotham Restaurant,"1,762","American, Bar",“Followed by the Atlantic Char which I’d never had before it was like salmon o...”,No,No
John's of Bleecker Street,"1,854","Italian, Pizza",“Wow”,No,No
Benjamin Steakhouse Prime,309,"Seafood, Soups","“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”",No,No
The Meatball Shop - Hell's Kitchen,"1,104",Contemporary,“... meatballs with warm spicy sauce for me an a nice salad with chicken for her.”,No,No
Etcetera Etcetera,568,"Mediterranean, Italian",“The Pasta dishes were outstanding.”,No,No
Via Brasil Restaurant,479,"Brazilian, Latin","“... for great feijoada and capirinhas, ...”",No,No
Sean's Bar And Kitchen,438,"American, Irish",“... didn’t want a huge meal so decided to have wings and fries with our drinks.”,No,No
The Capital Grille,402,"American, Steakhouse","“... steak, grilled asparagus and clam chowder all of which were exceptional.”",No,No
All Stars Sports Bar & Grill,21,"Bar, Pub","“The fries were terrific also, hot crisp...”",No,No
The Marshal,323,"American, Pizza",“Quite possibly the best Pizza I ever ate!”,Pizza,Yes
Nocello,441,Italian,“... roasted lobster and scampi in red s...”,lobster,Yes
Mastro's Steakhouse,688,"American, Steakhouse",“My kids all had the filet mignon.”,filet mignon,Yes
Cuba,475,"Caribbean, Latin",“We had the salmon dish which was wonderful and a paella.”,salmon,Yes
Monte's Trattoria,539,Italian,“My wife had the chicken parmigiana and loved it.”,chicken parmigiana,Yes
Delmonico's,"1,024","American, Steakhouse",“I had their eggs Benedict and they were...”,Benedict,Yes
Brooklyn Chop House - Times Square,3,"Chinese, Steakhouse",“Worth the price”,salad,Yes
Blue Dog Cookhouse & Bar,479,"American, Bar","“My wife and I shared a salad which was just OK for a salad, and my wife order...”",salad,Yes
PRINT.,992,American,“Very Good Farm to Table Cooking”,Farm to Table,Yes
Capizzi,"1,791","Italian, Pizza",“The cannoli was just beyond amazing and I know tomorrow I’m going to be wishi...”,cannoli,Yes
Whiskey Tavern,181,"American, Bar",“Great Friday night while visiting NY”,sashimi,Yes
Momoya Chelsea,250,"Japanese, Sushi",“Delicious sushi & sashimi!”,lamb,Yes
Casa Soglia,1 review,"Italian, Mediterranean",“Can't Miss”,pasta dishes,Yes
The Dead Rabbit,"1,374","Irish, Bar",“High quality inventive ramen. Enjoy!”,salad,Yes
Hakata Ippudo NY,620,"Japanese, Asian","“... which was excellent and fun- matched with the duck, the lamb and the ragu.”",tuna,Yes
Union Square Cafe,"1,377",American,“Both the pasta dishes my husband and I ate were fantastic and my son’s filet...”,burger,Yes
Da Andrea Ristorante,355,"Italian, Pizza","“... that had a salad, s’mores, veggies ...”",Sandwiches,Yes
Gyu-Kaku Japanese BBQ,419,"Japanese, Barbecue",“Highlights were the tuna tartare appetizer and the salmon entree.”,salmon,Yes
David Burke Tavern,114,"American, Steakhouse",“... was super.The main course burger was extremely filling especially with it...”,cannoli,Yes
The Polo Bar,654,American,"“Sandwiches are great, especially hot pastrami, even matzo ball soup is flavor...”",halibut,Yes
Barney Greengrass,567,"Eastern European, Israeli",“Had the everything bagel with salmon an...”,Mediterranean food,Yes
Leo's Bagels,400,"American, Fast Food",“Dessert was a large cannoli with white chocolate filling.”,Dim Sum,No
pizzArte,"1,392","Italian, Pizza",“Tommylicious”,rice,No
Tommy Bahama Restaurant & Bar,512,"American, Bar",“Good experience for dinner”,crab cakes,No
Allora Fifth Ave,9,"Italian, Mediterranean",“Delicious noodles”,Astice,No
Saigon Shack,277,"Asian, Vietnamese",“Great place”,goat cheese salad,No
Rainbow Room,699,"American, Contemporary",“Large menu with lots of interesting choices; Malai halibut very good (overpri...”,No,No
Tamarind - Tribeca,753,Indian,“Nice Meal. Ko has “slightly” lost the...”,No,No
Momofuku Ko,418,"Asian, International",“Extraordinary Mediterranean food at an affordable price”,No,No
Boulud Sud,932,Mediterranean,“Perfect Picnic did a wonderful job...”,No,No
Perfect Picnic,49,"Italian, American",“Dim Sum for beginners”,No,No
Shanghai 21,391,"Chinese, Asian",“The bowl was steaming hot and the hot stone kept the rice and meat dish hot t...”,No,No
Barn Joo 35,251,"Asian, Korean","“The meal was excellent, I had crab cakes and the rib eye steak and my wife ha...”",No,No
West Side Steakhouse,"1,105","American, Steakhouse",“Our next course we chose Astice (Lobste...”,No,No
Marea,"2,364","Italian, American","“We had clam chowder, goat cheese salad and duck cassoulet.”",No,No
Bistro Les Amis,385,"French, European",“Great food ; good price”,No,No
KOBA Korean Bbq,5,"Asian, Korean",No,No,No
Royal 35 Steakhouse,591,"American, Steakhouse","“Superb Steak, really delicious”",Steak,Yes
La Grenouille,919,French,“We started with a shaved smoked salmon...”,salmon,Yes
Clinton St. Baking Company & Restaurant,"1,513","American, Cafe",“One of the best eggs benedict”,eggs benedict,Yes
Mighty Quinn's Barbeque,667,"American, Southwestern",“Delicious Food!”,trout,Yes
Cookshop,"1,123",American,"“... as well as drinks and ordered a pizza, two salads, and the trout to share.”",Crab Cakes,Yes
Benjamin Steakhouse Prime,309,"Seafood, Soups","“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”",carbonara,Yes
Lupa Osteria Romana,983,"Italian, Romana","“We had a wonderful dinner at Lupa, spaghetti carbonara and the garganelli bol...”",salad,Yes
5 Napkin Burger,"4,358","American, Contemporary","“... every way, cooked exactly as I requested and the salad was also very good.”",pizza,Yes
Artichoke Basille's Pizza,718,"Italian, American",“Sensational pizza!”,filet mignon,Yes
Robert,"1,675","American, European",“Then we had the filet mignon and finished off the repast with the trio desser...”,beef,Yes
Tasty Hand Pulled Noodles,411,"Chinese, Asian",“We had a beef noodle soup and a chicken w vegetables wok dish; both were outs...”,bagels,Yes
Pure & Fresh,248,American,“Walk in and create what you want”,French Toast,Yes
Rico Bagel,3,"American, Cafe",“One of the best bagels in the city!”,hummus,Yes
The Bluebell Cafe,276,"American, Cafe",“The French Toast was to die for.”,oysters,Yes
Cafe Mogador,567,"Moroccan, Mediterranean",“Amazing traditional hummus.”,Curry,Yes
Osteria Morini,757,Italian,“Excellent Italian Sunday Brunch”,jambalaya,Yes
Crave Fishbar,459,"American, Seafood",“Sustainable delicious food and friendly staff Different selections of oysters...”,salad,Yes
Franchia Vegan Cafe,403,"Sushi, Asian",“Ordered lunch special ( Drunken Basil Noodles & Vegetable Curry Hot Pot) that...”,pancakes,Yes
Allora Fifth Ave,9,"Italian, Mediterranean",“Good experience for dinner”,pancakes,Yes
Birdland,368,"American, Bar",“The entree of chicken and andouille sausage jambalaya was a little disappoint...”,Breakfast Sandwich,Yes
The Mean Fiddler,"1,153","Irish, Bar",“Wondering experience at one of our go to...”,tapas,Yes
Victor's Cafe,"1,650","Latin, Spanish","“Our salad (Ensalada de Palmitos y Mandarin orange, $15) also was large and fl...”",rice,Yes
Murray Hill Diner,678,"American, Diner","“We had chocolate chip pancakes, waffle and lumberjack pancakes.”",Gluten Free,No
Little Ruby's Cafe,349,"American, Cafe",“... with Spicy Sausage Breakfast Sandwich.”,black beans,No
Utsav Restaurant,627,"Indian, Chinese",“Great food but very chaotic atmosphere”,Sushi,No
Boqueria Soho,653,Spanish,“Superb lively tapas bar.”,Kimchi,No
Sakagura,506,"Japanese, Asian",“The sashimi was excellent and the toro rice with uni even better.”,No,No
The Paris Cafe,345,"Bar, French",“I never write  ! Do not miss this...”,No,No
OCabanon,385,"French, European",“Great quiet place to meet friends and/or...”,No,No
Senza Gluten,483,Italian,“Gluten Free Heaven!!”,No,No
Tangy Noodle,3,"Chinese, Asian",“Great quality for the price!”,No,No
Peacefood Cafe,345,"American, Cafe",“Come for the Desserts - Enjoy a meal first”,No,No
Cafe Habana,766,"Mexican, Caribbean",“The burrito was stuffed with rice and black beans then pressed and toasted pa...”,No,No
An'nam,303,"Japanese, Sushi",“Hidden Gem Sushi”,No,No
99 Cent Fresh Pizza,323,"Pizza, Fast Food",“Best dollar slice pizza”,No,No
Danji,511,"Asian, Korean",“I have to avoid the spicy wings and Kimchi fried rice because they are too sp...”,No,No
Ledo Pizza,13,"Italian, Pizza",“Maryland’s Best in NYC”,No,No
Benjamin Steakhouse Prime,309,"Seafood, Soups","“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”",Crab Cakes,Yes
Kung Fu Little Steamed Buns Ramen,459,"Chinese, Asian","“The xiao long bao were AMAZING, as were the duck buns and the pan fried dumpl...”",duck,Yes
Bubby's,"1,612","Bar, Barbecue","“Huevos rancheros was delcious only small gripe was it was not hot, bordering...”",Huevos rancheros,Yes
Avra Midtown,"1,151","Seafood, Mediterranean",“Large menu has something for everyone…assorted Greek and Mediterranean appeti...”,Greek,Yes
Black Tap,852,"American, Bar",“... American as well as the wagyu burger!”,burger,Yes
Estiatorio Milos - Midtown New York,"1,584","Seafood, Mediterranean",“The tuna was fresh and simple with olive oil and lemon and that’s all it need...”,tuna,Yes
Salumeria Rosi,400,"Italian, Pizza",“Food was quite good and the cheese and meats were an ideal meal with salad.”,salad,Yes
Dutch Fred's,301,"American, Bar","“We started with wings, quacamole, flatbread pizza and their bang bang shrimp.”",wings,Yes
Two Hands Nolita,369,"Cafe, Australian",“(We live in Australia) It's our go to for good coffee.”,Australia,Yes
Urbanspace Vanderbilt,420,"Italian, Bar","“From the tacos to sushi to coffee and breakfast bowls, you can't go wrong!”",tacos,Yes
Aquavit,568,"European, Swedish",“... texture and solid dish The halibut follows and is well balanced and very ...”,halibut,Yes
Prince Street Pizza,467,"Italian, Pizza",“I was a bit underwhelmed…”,Steak,Yes
Royal 35 Steakhouse,591,"American, Steakhouse","“Superb Steak, really delicious”",prosciutto,Yes
La Masseria,"1,977",Italian,“... as was the veal chop special which was stuffed with cheese and prosciutto.”,salmon,Yes
Jongro BBQ,467,"Barbecue, Asian",“Good place for Korean BBQ”,tiramisu,Yes
Upland,644,American,"“The food is very tasty we like the branzino, salmon, pasta and margherita piz...”",Branzino,Yes
Il Brigante,419,"Italian, Pizza",“... Good slab of tiramisu and a nice ca...”,pasta,Yes
Cibo e Vino,206,"Italian, European","“We had the Milanese Chicken and the Branzino, as well as the Tiramisu for des...”",pasta,Yes
MERMAID OYSTER BAR TIMES SQUARE,9,"American, Seafood",“Best oysters in my life”,Great burgers,Yes
Red Rooster Harlem,"2,601","American, Bar",“The seafood pasta was great as was the shrimp and grits.”,salmon,Yes
Il Gattopardo,775,"Italian, Pizza",“... recommendations as I got the smoked burrata and a slow roasted pork pasta.”,French toast,Yes
Le CouCou Restaurant,546,"French, European",“Wonderful dining experience!”,scallops,Yes
Bareburger - Murray Hill,407,"American, Bar",“Great burgers and plant based options a...”,Burger,No
Blue Fin,"2,090","Seafood, Sushi",“I had the pan seared salmon and my husband had the miso sea bass.”,salad,No
